ImageID,Latitude,Longitude,Elevation,Neighborhood,Date,OpenAI Score,Walkability Rating,Tags,Description
image_24,47.5990523,-122.3277698,14,International District,2023-02-01,8,Very walkable,"Marked crosswalks, traffic signals present, public transportation nearby, wide sidewalks, urban setting with amenities, some pedestrians, flat terrain","Marked crosswalks, traffic signals present, public transportation nearby, wide sidewalks, urban setting with amenities, some pedestrians, flat terrain. Very walkable. 8/10."
image_3505,47.6008296,-122.3330391,16,Pioneer Square,2023-02-01,10,Extremely walkable,"Wide, paved pathway, numerous trees for shade, decorative street lighting, pedestrian-friendly environment, visible seating areas, low traffic, active pedestrian presence, vibrant atmosphere","Wide, paved pathway, numerous trees for shade, decorative street lighting, pedestrian-friendly environment, visible seating areas, low traffic, active pedestrian presence, vibrant atmosphere. Extremely walkable. 10/10."
image_90,47.6057508,-122.3217182,104,Yesler Terrace,2023-02-01,6,Moderately walkable,"Traffic signals present, marked crosswalks visible, some pedestrians, flat terrain, urban environment with nearby buildings, a bit of congestion","Traffic signals present, marked crosswalks visible, some pedestrians, flat terrain, urban environment with nearby buildings, a bit of congestion. Moderately walkable. 6/10."
image_101,47.6009749,-122.319534,72,Yesler Terrace,2023-02-01,5,Moderately walkable,"Wide, paved sidewalks, some greenery, parking area visible, urban setting, no visible pedestrians, nearby construction","Wide, paved sidewalks, some greenery, parking area visible, urban setting, no visible pedestrians, nearby construction. Moderately walkable. 5/10."
image_102,47.5991992,-122.3217917,39,International District,2023-02-01,4,Slightly walkable,"Narrow pedestrian space, urban underpass, nearby traffic, some signage, graffiti present, limited aesthetic appeal, no visible amenities or obstacles","Narrow pedestrian space, urban underpass, nearby traffic, some signage, graffiti present, limited aesthetic appeal, no visible amenities or obstacles. Slightly walkable. 4/10."
image_694,47.6001431,-122.3305256,10,Pioneer Square,2023-02-01,6,Moderately walkable,"Marked crosswalks, traffic signals, pedestrian presence, nearby amenities, slight incline, wide sidewalks, some traffic","Marked crosswalks, traffic signals, pedestrian presence, nearby amenities, slight incline, wide sidewalks, some traffic. Moderately walkable. 6/10."
image_3446,47.6150284,-122.3303332,50,Central Business District,2022-11-01,3,Slightly walkable,"Steep incline, limited pedestrian space, adjacent waterway, some greenery, urban environment, visible pedestrian, potential safety concerns with the slope","Steep incline, limited pedestrian space, adjacent waterway, some greenery, urban environment, visible pedestrian, potential safety concerns with the slope. Slightly walkable. 3/10."
image_83,47.6135227,-122.3291232,74,Broadway,2022-11-01,9,Extremely walkable,"Wide sidewalk, green spaces, trees and landscaping, visible street signs, no visible obstacles, urban environment with pedestrians and scooters","Wide sidewalk, green spaces, trees and landscaping, visible street signs, no visible obstacles, urban environment with pedestrians and scooters. Extremely walkable. 9/10."
image_28,47.6161267,-122.3313659,46,Denny Triangle,2022-11-01,2,Not at all walkable,"Construction site present, traffic congestion, limited pedestrian space, no visible sidewalks, traffic lights present, urban environment, debris and barriers","Construction site present, traffic congestion, limited pedestrian space, no visible sidewalks, traffic lights present, urban environment, debris and barriers. Not at all walkable. 2/10."
image_53,47.6129514,-122.320631,97,First Hill,2022-10-01,6,Moderately walkable,"Paved sidewalks, nearby businesses, bus stop present, minimal pedestrian activity, flat terrain, parked cars along the road, some street furniture","Paved sidewalks, nearby businesses, bus stop present, minimal pedestrian activity, flat terrain, parked cars along the road, some street furniture. Moderately walkable. 6/10."
image_74,47.5974755,-122.3288679,13,International District,2022-09-01,2,Not at all walkable,"Stairs present, minimal pedestrian path, street proximity, caution signage, urban area, limited spaces for walking","Stairs present, minimal pedestrian path, street proximity, caution signage, urban area, limited spaces for walking. Not at all walkable. 2/10."
image_31,47.6079824,-122.3420353,7,Pike-Market,2022-09-01,1,Not at all walkable,"Heavy construction, numerous barriers, no clear pedestrian path, traffic signals present, obstructed sidewalk","Heavy construction, numerous barriers, no clear pedestrian path, traffic signals present, obstructed sidewalk. Not at all walkable. 1/10."
image_8149,47.5974415,-122.3282254,21,International District,2022-09-01,10,Extremely walkable,"Wide, well-paved walkway, ample greenery, proximity to shops, clear signage, no visible obstacles, well-lit area, urban environment","Wide, well-paved walkway, ample greenery, proximity to shops, clear signage, no visible obstacles, well-lit area, urban environment. Extremely walkable. 10/10."
image_64,47.6008145,-122.3360604,6,Pioneer Square,2022-09-01,4,Slightly walkable,"Obstructed sidewalk due to construction barriers, limited signage, some greenery, urban environment, nearby traffic, potential hazards from blocked paths","Obstructed sidewalk due to construction barriers, limited signage, some greenery, urban environment, nearby traffic, potential hazards from blocked paths. Slightly walkable. 4/10."
image_343,47.6198628,-122.3496638,44,Lower Queen Anne,2022-09-01,1,Not at all walkable,"Lush greenery, dense bushes, no visible pathways or sidewalks, unclear accessibility, only nature present","Lush greenery, dense bushes, no visible pathways or sidewalks, unclear accessibility, only nature present. Not at all walkable. 1/10."
image_470,47.5986553,-122.3259635,18,International District,2022-09-01,9,Extremely walkable,"Open green space, benches and seating available, artistic structure present, nearby pedestrian activity, well-maintained paths, no visible obstructions","Open green space, benches and seating available, artistic structure present, nearby pedestrian activity, well-maintained paths, no visible obstructions. Extremely walkable. 9/10."
image_830,47.602526,-122.3370195,6,Central Business District,2022-09-01,10,Extremely walkable,"Wide pedestrian bridge, safe separation from vehicle traffic, urban scenery, flat terrain, no obstacles, well-maintained path","Wide pedestrian bridge, safe separation from vehicle traffic, urban scenery, flat terrain, no obstacles, well-maintained path. Extremely walkable. 10/10."
image_962,47.6148987,-122.3547915,6,Belltown,2022-09-01,8,Very walkable,"Sidewalk present, nearby cafes, trees, some pedestrian activity, flat terrain, minimal traffic, appealing urban setting with open space","Sidewalk present, nearby cafes, trees, some pedestrian activity, flat terrain, minimal traffic, appealing urban setting with open space. Very walkable. 8/10."
image_3159,47.6087126,-122.340112,29,Pike-Market,2022-09-01,10,Extremely walkable,"Busy pedestrian area, shops and eateries present, ample seating, flat terrain, good visibility, many people, vibrant atmosphere, well-maintained surroundings","Busy pedestrian area, shops and eateries present, ample seating, flat terrain, good visibility, many people, vibrant atmosphere, well-maintained surroundings. Extremely walkable. 10/10."
image_3227,47.6209632,-122.3522192,47,Lower Queen Anne,2022-09-01,7,Very walkable,"Open space, well-maintained landscaping, trees providing shade, flat terrain, no visible obstacles, suitable for walking, potential for gatherings","Open space, well-maintained landscaping, trees providing shade, flat terrain, no visible obstacles, suitable for walking, potential for gatherings. Very walkable. 7/10."
image_260,47.6081165,-122.3417758,7,Pike-Market,2022-09-01,4,Slightly walkable,"Steep stairs, limited accessibility for those with mobility issues, greenery present, urban setting with businesses, some pedestrian space","Steep stairs, limited accessibility for those with mobility issues, greenery present, urban setting with businesses, some pedestrian space. Slightly walkable. 4/10."
image_227,47.6180862,-122.3385856,28,Denny Triangle,2022-08-01,9,Extremely walkable,"Wide and paved sidewalk, greenery, pedestrians present, nearby businesses, marked crosswalks and signals visible, flat terrain, urban setting","Wide and paved sidewalk, greenery, pedestrians present, nearby businesses, marked crosswalks and signals visible, flat terrain, urban setting. Extremely walkable. 9/10."
image_145,47.618628,-122.3422114,31,South Lake Union,2022-08-01,4,Slightly walkable,"Trees providing shade, nearby buildings indicating infrastructure, minimal pedestrian space, cars present on the road, no visible sidewalks or pathways, urban setting","Trees providing shade, nearby buildings indicating infrastructure, minimal pedestrian space, cars present on the road, no visible sidewalks or pathways, urban setting. Slightly walkable. 4/10."
image_122,47.6230801,-122.3370339,16,South Lake Union,2022-08-01,8,Very walkable,"Pedestrians visible, storefront presence, flat terrain, well-maintained environment, urban area with amenities, nearby greenery","Pedestrians visible, storefront presence, flat terrain, well-maintained environment, urban area with amenities, nearby greenery. Very walkable. 8/10."
image_4818,47.6195697,-122.3408068,30,South Lake Union,2022-08-01,10,Extremely walkable,"Open green space, shaded areas under trees, playground equipment, seating available, visible pedestrians, no barriers, flat terrain, recreational appeal","Open green space, shaded areas under trees, playground equipment, seating available, visible pedestrians, no barriers, flat terrain, recreational appeal. Extremely walkable. 10/10."
image_0,47.608058,-122.3181601,94,First Hill,2022-08-01,8,Very walkable,"Wide and paved sidewalks, greenery and landscaping, flat terrain, minimal traffic visible, pedestrians present, urban setting","Wide and paved sidewalks, greenery and landscaping, flat terrain, minimal traffic visible, pedestrians present, urban setting. Very walkable. 8/10."
image_4,47.609318,-122.319385,107,First Hill,2022-08-01,2,Not at all walkable,"Narrow road, limited pedestrian infrastructure, vehicles present, greenery, somewhat secluded area, lacks sidewalks or clear walking paths","Narrow road, limited pedestrian infrastructure, vehicles present, greenery, somewhat secluded area, lacks sidewalks or clear walking paths. Not at all walkable. 2/10."
